"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","P/L"
"67.2","2025-03-08"," 4:00:00 PM","2025-03-08"," 4:41:00 PM","PE","86000","Sell","0.01","75.26","149.63","-62.90"
"68","2025-03-09"," 4:00:00 PM","2025-03-09"," 4:17:00 PM","","","","","","","-24.76"
"68.1","2025-03-09"," 4:00:00 PM","2025-03-09"," 4:17:00 PM","CE","85400","Sell","0.01","68.90","19.60","41.65"
"68.2","2025-03-09"," 4:00:00 PM","2025-03-09"," 4:17:00 PM","PE","85000","Sell","0.01","52.27","130.70","-66.30"
"69","2025-03-10"," 4:00:00 PM","2025-03-10"," 4:31:00 PM","","","","","","","-123.19"
"69.1","2025-03-10"," 4:00:00 PM","2025-03-10"," 4:31:00 PM","CE","82000","Sell","0.01","182.59","456.50","-232.90"
"69.2","2025-03-10"," 4:00:00 PM","2025-03-10"," 4:31:00 PM","PE","81600","Sell","0.01","136.15","7.17","109.65"
"70","2025-03-11"," 4:00:00 PM","2025-03-11"," 5:04:00 PM","","","","","","","190.39"
"70.1","2025-03-11"," 4:00:00 PM","2025-03-11"," 5:04:00 PM","CE","82000","Sell","0.01","141.87","87.61","45.90"
"70.2","2025-03-11"," 4:00:00 PM","2025-03-11"," 5:04:00 PM","PE","81600","Sell","0.01","184.48","14.75","144.50"
"71","2025-03-12"," 4:00:00 PM","2025-03-12"," 4:44:00 PM","","","","","","","25.76"
"71.1","2025-03-12"," 4:00:00 PM","2025-03-12"," 4:44:00 PM","CE","82400","Sell","0.01","172.96","241.87","-58.65"
"71.2","2025-03-12"," 4:00:00 PM","2025-03-12"," 4:44:00 PM","PE","82000","Sell","0.01","107.86","8.65","84.15"
"72","2025-03-13"," 4:00:00 PM","2025-03-13"," 4:45:00 PM","","","","","","","56.52"
"72.1","2025-03-13"," 4:00:00 PM","2025-03-13"," 4:45:00 PM","CE","83400","Sell","0.01","133.69","10.70","104.55"
"72.2","2025-03-13"," 4:00:00 PM","2025-03-13"," 4:45:00 PM","PE","83000","Sell","0.01","73.01","129.51","-47.60"
"73","2025-03-14"," 4:00:00 PM","2025-03-14"," 4:55:00 PM","","","","","","","86.14"
"73.1","2025-03-14"," 4:00:00 PM","2025-03-14"," 4:55:00 PM","CE","83200","Sell","0.01","97.12","88.53","7.65"
"73.2","2025-03-14"," 4:00:00 PM","2025-03-14"," 4:55:00 PM","PE","82800","Sell","0.01","100.80","8.05","79.05"
"74","2025-03-15"," 4:00:00 PM","2025-03-15"," 4:09:00 PM","","","","","","","8.53"
